t dt Rul5P PEP P2f Rib5P P2NADP NADPf NADH P2NADPH P1NADPH NAD Mgf Xul5P Phi MgATP Pyr MgAMP AMPf Gri2P Gri23P2f Sed7P ATPf Gri13P2 Lac GraP GlcA6P Glc6P E4P GSH DHAP Fru16P2 MgADP GSSG NADPHf Fru6P P1NADP Gri3P MgGri23P2 P1f Glcin ADPf
0.031932 2.56e-06 0.00549654 0.0106139 0.00608678 0.0161405 0.0172017 2.78668e-05 0.000153065 0.0207115 0.043281 0.0653469 0.563716 0.014835 1.0073 1.46825 0.0839876 0.00207271 0.060577 0.00772736 1.91455 0.0174078 0.18755 0.000470695 1.68023 0.00577616 0.0254676 0.0471989 0.00583136 3.11246 0.142122 0.00841357 0.128709 0.000972329 0.000688056 0.0183928 8.98925e-05 0.0588819 0.647249 0.000629144 4.56789 0.172838
0.0331294 6.4e-07 0.0055095 0.0106191 0.00609983 0.0161859 0.0169185 2.73537e-05 0.000153617 0.0209817 0.0432899 0.0653464 0.563956 0.0148701 1.00722 1.46749 0.0839872 0.00208364 0.0608703 0.00773643 1.91437 0.0174783 0.187372 0.000470584 1.68023 0.0057713 0.025495 0.0472658 0.00583151 3.11247 0.142014 0.00842042 0.129011 0.000965015 0.000695239 0.0184178 8.72907e-05 0.0589681 0.647464 0.000622768 4.56803 0.173177
0.0343499 2.56e-06 0.00552174 0.0106243 0.00611261 0.0162293 0.0166379 2.6848e-05 0.000153678 0.0212495 0.0432986 0.0653463 0.564198 0.0149031 1.00714 1.46671 0.0839868 0.00209473 0.0611673 0.00774618 1.91419 0.0175473 0.187193 0.000470037 1.68023 0.00576772 0.0255227 0.0473229 0.00583278 3.11249 0.141926 0.00842965 0.129316 0.00095733 0.000702349 0.0184389 8.47762e-05 0.0590615 0.647682 0.000616582 4.56818 0.17352
0.0355115 1.28e-06 0.0055325 0.0106292 0.00612434 0.0162679 0.016378 2.63821e-05 0.000153773 0.0214976 0.0433065 0.0653462 0.564426 0.0149322 1.00704 1.46598 0.0839864 0.00210522 0.0614478 0.00775591 1.91402 0.0176102 0.187023 0.000469607 1.68023 0.00576508 0.0255488 0.0473671 0.00583497 3.1125 0.141862 0.00844045 0.129603 0.000949874 0.000708924 0.0184551 8.25027e-05 0.0591553 0.647887 0.00061097 4.56832 0.173842
0.0366552 1.28e-06 0.00554225 0.0106339 0.00613547 0.0163034 0.0161289 2.59375e-05 0.00015377 0.0217357 0.0433139 0.0653462 0.564649 0.0149585 1.00695 1.46527 0.083986 0.00211547 0.0617217 0.00776588 1.91385 0.0176695 0.186859 0.00046914 1.68024 0.0057633 0.0255741 0.0474015 0.00583801 3.11252 0.141816 0.00845288 0.129881 0.000942454 0.000715222 0.0184675 8.03705e-05 0.059252 0.648087 0.00060569 4.56845 0.174156
0.037796 6.4e-07 0.00555116 0.0106386 0.00614619 0.0163364 0.0158867 2.55073e-05 0.00015386 0.0219671 0.043321 0.0653461 0.564869 0.0149826 1.00684 1.46456 0.0839857 0.0021256 0.0619923 0.00777618 1.91368 0.017726 0.186696 0.000468811 1.68024 0.00576213 0.025599 0.0474272 0.00584186 3.11253 0.141788 0.00846695 0.130156 0.000935024 0.000721335 0.0184764 7.83418e-05 0.0593523 0.648285 0.000600651 4.56859 0.174466
0.0389553 1.28e-06 0.00555939 0.0106432 0.00615671 0.0163675 0.015647 2.50832e-05 0.000153939 0.0221963 0.0433279 0.0653461 0.56509 0.0150048 1.00673 1.46386 0.0839854 0.00213581 0.0622643 0.00778698 1.91351 0.0177807 0.186533 0.000468512 1.68024 0.00576163 0.025624 0.0474447 0.00584656 3.11255 0.141776 0.00848287 0.130431 0.000927486 0.000727381 0.0184822 7.63743e-05 0.059458 0.648484 0.000595749 4.56873 0.174777
0.0401022 6.4e-07 0.00556674 0.0106476 0.00616677 0.0163957 0.015416 2.46762e-05 0.000153988 0.0224172 0.0433344 0.065346 0.565306 0.0150246 1.00662 1.46317 0.0839851 0.0021458 0.0625302 0.00779796 1.91335 0.017832 0.186374 0.000468232 1.68024 0.0057618 0.0256483 0.047454 0.00585194 3.11256 0.141781 0.00850013 0.130699 0.000920079 0.0007332 0.0184848 7.45155e-05 0.0595659 0.648678 0.000591106 4.56887 0.175079
0.041251 1.28e-06 0.00557331 0.010652 0.00617651 0.0164217 0.0151906 2.42805e-05 0.000154054 0.0226329 0.0433406 0.0653459 0.565519 0.0150423 1.0065 1.46249 0.0839848 0.00215569 0.0627931 0.00780924 1.91318 0.0178806 0.186217 0.00046801 1.68024 0.00576256 0.0256722 0.0474556 0.00585801 3.11257 0.1418 0.0085188 0.130963 0.000912738 0.000738874 0.0184844 7.27355e-05 0.0596771 0.648869 0.000586648 4.56901 0.175378
0.0423877 2.56e-06 0.00557907 0.0106562 0.00618582 0.016445 0.0149732 2.39004e-05 0.00015412 0.022841 0.0433465 0.0653459 0.565727 0.0150578 1.00637 1.46183 0.0839846 0.00216535 0.0630497 0.00782064 1.91302 0.017926 0.186064 0.000467831 1.68024 0.00576389 0.0256955 0.04745 0.00586463 3.11259 0.141833 0.00853856 0.13122 0.000905577 0.00074434 0.0184813 7.10505e-05 0.0597898 0.649056 0.000582417 4.56915 0.175669
