Rho Pvalue Target
0.250226244343891 0.0767245053099999 vbpgsp2-vmgphos-vatpase
0.301719457013575 0.0318259389259777 vpfk-vtk6-vldhp
0.268054298642534 0.0574794731193528 vtk1-vpk-voxnadh
0.246515837104072 0.081311335760004 vbpgsp4-vgpi-vmgadp
0.272398190045249 0.0534402358674563 vhbb13pg-vtk1-vpgm
0.198461538461538 0.162292496516554 vbpgsp1
0.267511312217195 0.0580013520570406 vta-vbpgsp6-vmgfru16p2
0.13737556561086 0.33535202726909 vak-vtk3-vhbb13pg
0.101900452488688 0.475609428462033 vtk6-vmgadp-vhbb13pg
0.293122171945701 0.0372294000775193 vbpgsp6-vald-vgapdh
0.280361990950226 0.0466367763254385 vpglhydrolysis-vldh-vgpi
0.284796380090498 0.0431678648206076 vtk3-vpk-veno
0.191764705882353 0.177158559135199 vpgm-voxnadh-vmgphos
0.317918552036199 0.023418710502956 vtk1-vgpi-vhbadp
0.223710407239819 0.114450676744367 vp6gdh-vhbadp-vbpgsp2
0.346606334841629 0.0131028035526263 vtk2-vlactransport-vhbmgatp
0.321447963800905 0.021861150562204 vg6pdh-vtk3-vlactransport
0.277828054298642 0.0487197058862066 vpgm-vpgk-vbpgsp2
0.281900452488688 0.0454082221118846 vpfk-vldhp-vtpi
0.287692307692308 0.0410194608823547 vhbb13pg-vtk4-vpk
0.268325791855204 0.0572199663183248 veno-vpyrtransport-vbpgsp3
0.269683257918552 0.0559366620765238 vhbadp-vldhp-vtk4
0.336561085972851 0.0161472509040223 vmgb13pg-vhk-vpgk
0.253846153846154 0.0724503618516552 vtk1-vbpgsp1-vbpgsp3
0.287601809954751 0.041085234319483 vpk-vbpgsp5-vak
0.351221719457014 0.0118789509625717 vlactransport-vatpase-vbpgsp7
0.275837104072398 0.0504092460117237 vtk5-vtk4-vpgm
0.270135746606335 0.0555141299283249 vmgphos-veno-vhbmgatp
0.28868778280543 0.0403016819706436 vhbmgatp-vgapdh-vtk5
0.273212669683258 0.0527092735362666 vpglhydrolysis-vmgatp-veno
0.173484162895928 0.222728207708992 vtk6-vtk5-vhbb13pg
0.283529411764706 0.0441365415512199 vhbmgatp-vpk-vald
0.113212669683258 0.427792469180904 vmgphos-vmgfru16p2-vmgadp
0.194932126696833 0.170008393831469 vak-vr5pi-vg6pdh
0.33393665158371 0.0170360334858981 vldhp-veno-vgssgr
0.252941176470588 0.0735006277865196 voxnadh-vp6gdh-vmgglc16p2
0.272669683257919 0.0531956692573994 vhbadp-vpfk-vtk6
0.218552036199095 0.123217694664328 vmgphos-vpglhydrolysis-vhbmgatp
0.273665158371041 0.0523067205715528 vmgfru16p2-vmgadp-vgpi
0.261900452488688 0.0636223033265713 vhbmgatp-vpglhydrolysis-vak
0.161719457013575 0.256065681190666 vhbb13pg-vmgglc16p2-vbpgsp8
0.235294117647059 0.0965153635688177 vbpgsp8-vox-vpgm
0.217013574660633 0.125929096243169 vtpi-voxnadh-vhbadp
