Rho Pvalue Target
0.00560224089635854 0.975018816582132 v_30-v_23-v_2-v_16
-0.355742296918768 0.0366121045092341 v_7-v_19-v_18-v_14
0.399159663865546 0.018185909512752 v_10-v_29-v_8-v_30
0.256862745098039 0.136121870392054 v_6-v_32-v_17
0.256862745098039 0.136121870392054 v_33-v_5-v_32
0.229411764705882 0.184326931733528 v_9-v_27-v_29-v_26
0.101960784313726 0.558646943444252 v_24-v_19-v_9-v_6
0.353501400560224 0.0378756413098275 v_30-v_5-v_7-v_4
0.236414565826331 0.171009438697535 v_12-v_29-v_37-v_26
0.343697478991597 0.0438306222720126 v_21-v_33-v_2-v_16
0.206442577030812 0.233167124064287 v_11-v_20-v_25-v_12
-0.00868347338935574 0.960935789535105 v_8-v_30-v_24-v_6
0.25546218487395 0.138327277283924 v_14-v_20-v_17-v_13
0.28375350140056 0.0986844303617884 v_11-v_7-v_6-v_27
0.178991596638655 0.302302991846209 v_8-v_6-v_37-v_30
0.050140056022409 0.774282380051046 v_17-v_20-v_28-v_37
0.210084033613445 0.224885656296893 v_7-v_24-v_37-v_3
-0.292436974789916 0.0884684037224173 v_5-v_19-v_6-v_18
0.444537815126051 0.00797584557712921 v_14-v_11-v_15-v_10
0.270588235294118 0.115875553582351 v_11-v_6-v_33
0.47563025210084 0.0042655300755195 v_25-v_16-v_9
0.36078431372549 0.0338953195480874 v_7-v_3-v_24-v_10
-0.147899159663866 0.395021486509254 v_32-v_37-v_15-v_4
0.00952380952380952 0.957096828433838 v_5-v_24-v_28-v_27
-0.231652661064426 0.179987155699161 v_9-v_18-v_15-v_5
0.357983193277311 0.0353833691131201 v_10-v_12-v_24
0.315686274509804 0.0651374756360557 v_5-v_23-v_16-v_37
0.0521008403361345 0.76567635854573 v_27-v_20-v_17-v_1
0.00840336134453782 0.962215642027686 v_25-v_21-v_7
0.427450980392157 0.0110080951439491 v_6-v_1-v_35-v_11
-0.0145658263305322 0.934086252028415 v_15-v_11-v_26-v_32
0.420448179271709 0.0125092460838412 v_33-v_9-v_11-v_6
0.115406162464986 0.507687496376867 v_23-v_3-v_27-v_11
0.420448179271709 0.0125092460838412 v_4-v_9-v_32-v_11
0.423249299719888 0.0118890955956587 v_21-v_20-v_8-v_9
0.509243697478992 0.00203685692218698 v_26-v_9-v_35-v_10
0.472268907563025 0.00457588276359224 v_3-v_16-v_12-v_4
-0.263305322128852 0.126313252893336 v_29-v_23-v_30-v_32
-0.147899159663866 0.395021486509254 v_37-v_15-v_4-v_17
0.120728291316527 0.488188941844132 v_22-v_37-v_5
0.194677871148459 0.261338683677848 v_3-v_26-v_21
0.120448179271709 0.489205357031729 v_37-v_13-v_19-v_4
0.217647058823529 0.208339456769192 v_37-v_20-v_7-v_26
0.0700280112044818 0.688402864140533 v_10-v_25-v_22
0.319327731092437 0.0619742128932535 v_23-v_16-v_1-v_11
0.281232492997199 0.101814269882541 v_11-v_32-v_2-v_3
-0.173389355742297 0.317880980557977 v_19-v_26-v_16-v_22
0.234453781512605 0.174666112511217 v_8-v_33-v_35
0.343697478991597 0.0438306222720126 v_2-v_12-v_4-v_18
0.0260504201680672 0.881900685007128 v_27-v_4-v_22-v_17
0.200280112044818 0.247652699901461 v_6-v_19-v_4-v_32
0.235014005602241 0.173615649508303 v_28-v_7-v_37-v_12
-0.201680672268908 0.244308335686291 v_1-v_30-v_26-v_37
0.297478991596639 0.0829255932639961 v_33-v_8-v_20-v_5
0.111764705882353 0.521252430016677 v_8-v_33-v_1-v_18
0.217647058823529 0.208339456769192 v_3-v_32-v_28
0.114285714285714 0.511842166342282 v_24-v_8-v_19-v_10
0.491596638655462 0.0030282928440972 v_13-v_4-v_18-v_10
0.279271708683473 0.104300846964321 v_20-v_4-v_26-v_3
0.289075630252101 0.0923207418552027 v_28-v_2-v_13-v_6
-0.0756302521008403 0.664844021062415 v_30-v_13-v_2-v_20
0.434733893557423 0.00961287392780361 v_20-v_8-v_11-v_4
-0.377591036414566 0.0260109189125422 v_26-v_15-v_19-v_12
0.267787114845938 0.119809760209567 v_27-v_14-v_1-v_7
0.262464985994398 0.127561630220118 v_5-v_13-v_33-v_37
