g 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
2100 2.52386e-09 2.43657e-09 2.47516e-09 7.6985e-12 2.24107e-14 1.87389e-12 2.0309e-11 3.37508e-13 2.58774e-17 2.03287e-11 5.20092e-16 0 1.0216e-13 5.10387e-14 6.50484e-11 4.4392e-12 1.1648e-11 2.8737e-12 2.29067e-09 3.9937e-14 4.54241e-09 6.50923e-11 2.13629e-09 2.26286e-14 2.2625e-14 4.15466e-13 1.32317e-15 1.00938e-18 4.60786e-16 4.43393e-16 5.22873e-15 4.41297e-13 4.04593e-13 1.63953e-13 9.07441e-12 2.90706e-12 1.88266e-14 4.10004e-12 2.30886e-14 4.6367e-12
2200 7.00967e-14 1.55595e-13 9.6867e-15 1.16319e-11 1.40254e-14 2.85307e-13 4.33466e-14 3.17968e-13 5.68202e-17 1.66434e-14 3.3697e-16 2.77112e-13 1.75511e-12 4.0084e-14 0 8.08837e-13 8.09829e-12 3.53984e-12 5.488e-12 1.83015e-15 5.61107e-12 0 0 2.02893e-14 2.02776e-14 1.46919e-13 8.0809e-17 2.90789e-20 1.60462e-17 1.45859e-17 5.00631e-16 1.55539e-13 1.43183e-13 6.58255e-13 8.91942e-12 3.38645e-11 2.21073e-13 2.7015e-13 1.16094e-14 3.07969e-13
2300 1.99663e-10 1.40607e-10 1.30951e-11 4.91216e-12 2.26952e-14 3.90223e-13 1.85348e-13 2.54019e-13 2.63051e-16 4.82138e-14 5.1337e-16 1.26477e-11 6.46314e-14 2.32691e-14 1.44512e-09 8.67147e-12 1.43007e-11 1.55096e-07 1.81882e-10 6.53884e-16 1.40441e-10 1.44515e-09 1.19677e-09 1.47373e-14 1.47332e-14 6.71697e-16 2.97578e-15 1.36553e-18 4.81386e-17 4.77531e-17 1.1775e-14 5.78579e-15 1.0532e-15 3.71835e-13 7.29272e-12 2.13452e-12 3.30067e-13 7.80087e-14 2.29063e-14 8.78381e-14
2400 1.37691e-11 3.93491e-12 1.80448e-08 6.16725e-11 1.90658e-14 3.54877e-13 1.89253e-10 4.61853e-14 1.53337e-16 1.94541e-10 2.52619e-16 1.90425e-12 1.89221e-11 1.67149e-13 7.8459e-11 4.56133e-13 1.97587e-11 5.15465e-08 1.39599e-11 1.15644e-15 1.74324e-08 7.84278e-11 1.5293e-08 4.2734e-14 4.27354e-14 1.97637e-14 8.33332e-17 3.63747e-20 2.1684e-18 1.95914e-18 4.5846e-16 2.10779e-14 1.92637e-14 5.76739e-13 2.04072e-11 7.74022e-12 9.70022e-14 1.58187e-11 1.26259e-14 1.78747e-11
2500 7.37924e-10 2.98573e-10 2.07169e-08 5.1069e-11 2.23182e-14 1.06527e-12 1.00469e-13 6.21725e-14 1.20164e-16 6.27627e-14 5.6346e-16 0 1.52832e-11 6.71087e-14 4.45187e-09 1.27436e-12 1.28588e-11 1.98362e-06 6.39985e-10 1.74529e-14 2.02665e-08 4.45209e-09 2.13301e-08 2.8518e-14 2.85624e-14 4.45821e-16 1.08564e-16 4.94448e-20 0 4.34241e-20 8.23042e-16 7.20181e-16 3.99129e-16 1.8999e-12 2.13002e-11 2.65781e-09 1.75427e-13 1.58943e-11 1.50449e-14 1.79833e-11
2600 1.26346e-09 1.21959e-09 2.3154e-12 1.17165e-11 8.02673e-15 2.6563e-13 1.27957e-13 2.84217e-14 1.68068e-16 8.737e-14 1.21322e-16 1.10134e-13 3.79121e-12 4.79143e-14 4.88498e-14 1.17321e-12 3.42389e-12 3.66994e-07 1.1482e-09 4.91271e-15 1.08146e-09 6.60583e-15 1.75782e-12 1.88634e-14 1.8881e-14 1.00323e-15 1.82412e-16 2.36374e-19 1.28283e-15 1.25038e-15 8.79504e-16 4.72441e-16 1.00779e-16 1.55715e-12 3.49565e-12 1.21163e-09 1.57116e-14 3.07947e-12 5.60069e-15 3.4901e-12
2700 2.24373e-09 2.1483e-09 4.19212e-12 5.13747e-12 5.54941e-15 9.48063e-13 1.06642e-10 0 2.34914e-17 1.09621e-10 8.94142e-16 8.66862e-13 4.61806e-13 3.77855e-14 7.54952e-14 3.4372e-13 1.73869e-12 7.37632e-13 2.03521e-09 3.00533e-14 1.90155e-09 6.68354e-14 1.58953e-11 1.642e-14 1.63907e-14 1.49874e-16 5.5888e-17 3.79165e-19 1.30104e-18 1.44376e-20 8.09773e-16 3.8332e-16 8.5854e-17 2.24533e-13 6.44407e-12 1.79865e-09 7.81799e-15 1.67541e-12 7.50824e-15 1.89391e-12
2800 5.02819e-10 4.86208e-10 9.13582e-13 1.70935e-11 1.44512e-14 7.27198e-13 8.35924e-11 0 1.89769e-16 8.58336e-11 2.35163e-16 5.68434e-14 5.04692e-12 1.09223e-13 1.86517e-14 4.29451e-12 1.0371e-11 8.33713e-07 4.60951e-10 5.0833e-14 4.35072e-10 0 3.30846e-13 1.53558e-14 1.53595e-14 3.63201e-16 4.53052e-18 2.44413e-19 4.32488e-16 4.22121e-16 2.8273e-16 1.61926e-16 3.29163e-17 6.88265e-13 5.13301e-12 8.6078e-11 1.58776e-13 3.7274e-14 1.41609e-14 4.28358e-14
2900 1.67661e-10 4.5394e-11 1.7739e-08 2.9493e-11 9.00382e-15 9.11645e-13 6.55497e-11 0 3.04248e-16 6.71029e-11 3.40765e-16 6.75016e-13 6.23366e-12 2.68269e-13 7.71436e-11 1.3354e-11 3.62274e-11 2.66758e-07 1.49316e-10 6.91045e-15 1.7186e-08 7.71066e-11 1.51179e-08 3.72792e-14 3.72997e-14 3.47901e-14 3.97193e-16 3.86709e-19 7.03756e-16 6.87915e-16 1.89548e-15 3.72198e-14 3.34658e-14 4.43188e-13 2.10884e-11 7.6858e-12 4.97435e-15 1.34127e-15 8.11273e-15 2.5662e-15
3000 5.77871e-10 5.55535e-10 5.48019e-09 1.35963e-11 3.11587e-14 1.98833e-12 4.22636e-11 0 1.96044e-16 4.32231e-11 3.50739e-16 0 2.49744e-12 2.87741e-14 2.39293e-11 1.33716e-12 4.15936e-12 2.75732e-07 5.22794e-10 2.60534e-15 5.78365e-09 2.39125e-11 4.64225e-09 1.37754e-14 1.37291e-14 2.67282e-15 1.43707e-16 5.45279e-19 3.52658e-15 3.45813e-15 9.13048e-16 5.569e-16 1.43205e-16 4.26691e-13 4.81992e-12 1.45426e-09 3.08049e-16 1.70423e-16 3.26596e-14 1.37799e-15
3100 3.72091e-10 1.64494e-12 3.97876e-09 1.52777e-10 5.32579e-14 2.58649e-12 6.74426e-12 0 5.55569e-17 6.13186e-12 6.15393e-16 0 5.50164e-11 1.78887e-13 5.19845e-09 1.6626e-13 1.94534e-11 2.0953e-06 3.27989e-10 2.76165e-14 3.86286e-09 5.19945e-09 7.72858e-09 4.76312e-14 4.76034e-14 3.32136e-13 2.55673e-16 2.02949e-19 3.56703e-17 3.26983e-17 1.3049e-15 3.51593e-13 3.23976e-13 2.12831e-13 7.64178e-11 2.58402e-09 1.28887e-13 3.14896e-14 2.2511e-14 4.129e-14
3200 8.29515e-10 7.49733e-10 2.56456e-11 8.59002e-11 4.81778e-14 1.35209e-12 1.12699e-11 0 3.21736e-17 1.16639e-11 3.78495e-16 1.15463e-12 3.13585e-11 5.21685e-14 2.75623e-09 2.26768e-13 6.49268e-12 8.71844e-07 7.53567e-10 6.86284e-14 6.92248e-10 2.75553e-09 2.24694e-09 2.34326e-14 2.34167e-14 3.31274e-13 3.38353e-16 1.50046e-19 9.30245e-17 9.34617e-17 1.45743e-15 3.50645e-13 3.23192e-13 4.42845e-13 7.362e-12 3.02469e-12 2.10498e-16 7.30434e-16 2.47307e-14 9.20439e-15
3300 9.85422e-10 9.28247e-10 2.81482e-11 1.05463e-10 3.71827e-14 5.13033e-13 2.56211e-14 0 1.22101e-16 5.23522e-14 3.25152e-16 3.33955e-13 3.54807e-11 4.57297e-13 3.08728e-09 4.83328e-13 2.97953e-11 6.98773e-07 9.15526e-10 3.83088e-15 8.69567e-10 3.08755e-09 2.49982e-09 5.60741e-14 5.6088e-14 6.3063e-16 6.55924e-18 9.47145e-20 7.68482e-16 7.53858e-16 2.87238e-16 1.30755e-16 4.85536e-17 9.51262e-14 3.20644e-10 4.54749e-09 2.36279e-14 5.97144e-13 1.42977e-14 6.81678e-13
3400 4.67029e-13 3.14401e-14 9.24144e-11 1.09859e-11 5.77e-15 6.95713e-14 2.17286e-11 2.66454e-14 9.02304e-17 2.23012e-11 6.43582e-16 2.94875e-13 4.1788e-12 1.0851e-14 3.74618e-09 4.31088e-12 5.39749e-12 1.2507e-07 1.09007e-12 1.52655e-15 9.07128e-11 3.7449e-09 3.05557e-09 9.1923e-15 9.20682e-15 1.89481e-16 3.33138e-16 1.54282e-19 1.0842e-19 1.70813e-20 1.78255e-15 8.48009e-16 1.73532e-16 2.45785e-13 7.87148e-12 3.6975e-13 1.06182e-14 2.22426e-12 2.96247e-15 2.51677e-12
