g 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
2100 0.00026847 0.000683284 0.000270892 1.85925e-05 2.3869e-05 0.000141364 0.00029369 1.8656e-07 2.72405e-05 0.000114176 9.10245e-07 0 5.27184e-05 0.000470014 3.91283e-06 0.000249575 5.18965e-05 1.00886e-06 0.000349807 8.19438e-05 4.75395e-05 1.17398e-05 8.31608e-05 2.30211e-06 0.000961907 0.000131836 0.00155195 0.000175049 8.96457e-07 0.000429934 3.57237e-05 3.14652e-05 0.00073653 3.70135e-05 3.01471e-06 2.03002e-05 9.79711e-06 0.000428817 9.85891e-06 0.000168972
2200 1.41485e-06 5.46025e-06 5.35895e-07 2.28539e-05 1.88827e-05 5.51599e-05 1.35683e-05 1.8108e-07 4.03652e-05 3.26693e-06 7.3268e-07 1.1527e-07 0.000218513 0.00041653 0 0.000106532 4.32722e-05 1.1197e-06 1.71219e-05 1.75416e-05 1.67084e-06 0 0 2.17987e-06 0.000910672 7.83979e-05 0.000383543 2.97113e-05 1.67288e-07 7.79798e-05 1.10539e-05 1.86804e-05 0.000438146 7.41646e-05 2.98886e-06 6.92857e-05 3.35722e-05 0.000110075 6.99092e-06 4.35473e-05
2300 7.55113e-05 0.00016414 1.97036e-05 1.48515e-05 2.402e-05 6.45095e-05 2.80572e-05 1.61849e-07 8.6851e-05 5.56038e-06 9.04344e-07 7.78742e-07 4.19316e-05 0.000317368 1.84427e-05 0.000348823 5.75031e-05 0.000234377 9.85689e-05 1.04852e-05 8.35908e-06 5.53161e-05 6.22435e-05 1.85783e-06 0.000776269 5.30092e-06 0.00232761 0.000203604 2.89752e-07 0.000141097 5.36091e-05 3.60286e-06 3.75774e-05 5.57409e-05 2.7026e-06 1.73949e-05 4.10217e-05 5.91503e-05 9.81991e-06 2.32568e-05
2400 1.98296e-05 2.74589e-05 0.00073143 5.26237e-05 2.20157e-05 6.15183e-05 0.00089651 6.90128e-08 6.631e-05 0.000353209 6.34383e-07 3.0217e-07 0.000717451 0.000850554 4.29729e-06 8.00009e-05 6.75914e-05 0.000135118 2.73078e-05 1.3944e-05 9.31301e-05 1.28864e-05 0.000222502 3.16362e-06 0.001322 2.8754e-05 0.000389487 3.32301e-05 6.14965e-08 2.8579e-05 1.05781e-05 6.87669e-06 0.00016071 6.94208e-05 4.52094e-06 3.31245e-05 2.22384e-05 0.000842307 7.29057e-06 0.000331763
2500 0.000145167 0.00023919 0.000783676 4.78865e-05 2.38197e-05 0.000106586 2.0657e-05 8.00713e-08 5.87007e-05 6.3441e-06 9.47436e-07 0 0.000644813 0.000538964 3.23701e-05 0.000133721 5.45271e-05 0.000838175 0.000184895 5.41701e-05 0.000100416 9.70905e-05 0.000262773 2.58438e-06 0.00108084 4.31862e-06 0.000444549 3.87428e-05 0 4.25481e-06 1.41732e-05 1.27112e-06 2.31328e-05 0.000125997 4.61879e-06 0.000613795 2.99063e-05 0.000844338 7.95837e-06 0.000332766
2600 0.00018995 0.000483423 8.28524e-06 2.29369e-05 1.42848e-05 5.32238e-05 2.33122e-05 5.41381e-08 6.94224e-05 7.48517e-06 4.39631e-07 7.2669e-08 0.000321148 0.000455403 1.07227e-07 0.000128304 2.81366e-05 0.000360526 0.000247657 2.874e-05 2.31963e-05 1.18266e-07 2.38547e-06 2.10187e-06 0.000878734 6.47835e-06 0.00057626 8.47093e-05 1.49577e-06 0.000721998 1.46513e-05 1.02953e-06 1.1624e-05 0.000114068 1.87112e-06 0.00041443 8.95004e-06 0.000371637 4.85568e-06 0.000146599
2700 0.000253134 0.000641584 1.11483e-05 1.51883e-05 1.18776e-05 0.000100551 0.000673014 0 2.59544e-05 0.000265133 1.1935e-06 2.03875e-07 0.000112085 0.000404417 1.33301e-07 6.94469e-05 2.00505e-05 5.1113e-07 0.000329727 7.10841e-05 3.07585e-05 3.76183e-07 7.17335e-06 1.96103e-06 0.000818736 2.50396e-06 0.000318968 0.000107287 4.7635e-08 2.45337e-06 1.40585e-05 9.27356e-07 1.07288e-05 4.33151e-05 2.54049e-06 0.000504955 6.31339e-06 0.000274126 5.62209e-06 0.000107991
2800 0.00011983 0.000305232 5.20434e-06 2.77044e-05 1.91673e-05 8.8063e-05 0.00059586 0 7.37684e-05 0.00023461 6.12073e-07 5.2207e-08 0.000370543 0.000687577 6.62571e-08 0.000245478 4.89693e-05 0.00054341 0.000156917 9.24489e-05 1.47127e-05 0 1.0349e-06 1.89641e-06 0.000792582 3.89797e-06 9.08151e-05 8.61372e-05 8.68495e-07 0.000419496 8.30697e-06 6.02732e-07 6.6432e-06 7.58363e-05 2.26737e-06 0.000110464 2.84517e-05 4.08873e-05 7.72099e-06 1.6241e-05
2900 6.91959e-05 9.32636e-05 0.000725167 3.6391e-05 1.51293e-05 9.86004e-05 0.00052765 0 9.34054e-05 0.000207439 7.36793e-07 1.79906e-07 0.000411798 0.00107755 4.26111e-06 0.000432877 9.15234e-05 0.000307379 8.93096e-05 3.40862e-05 9.247e-05 1.27774e-05 0.000221221 2.95481e-06 0.00123512 3.81499e-05 0.00085034 0.000108349 1.10788e-06 0.000535537 2.15088e-05 9.13805e-06 0.000211825 6.08547e-05 4.59577e-06 3.30078e-05 5.03597e-06 7.75611e-06 5.84402e-06 3.97517e-06
3000 0.000128463 0.000326264 0.000403082 2.47084e-05 2.81446e-05 0.000145616 0.000423683 0 7.49781e-05 0.000166486 7.47499e-07 0 0.000260653 0.000352918 2.37322e-06 0.000136976 3.10118e-05 0.000312501 0.000167113 2.09295e-05 5.36429e-05 7.11554e-06 0.000122589 1.79618e-06 0.000749316 1.05742e-05 0.000511477 0.000128658 2.48003e-06 0.00120065 1.4928e-05 1.11778e-06 1.38564e-05 5.97112e-05 2.19713e-06 0.000454045 1.25321e-06 2.76472e-06 1.17256e-05 2.91296e-06
3100 0.000103083 1.77537e-05 0.000343451 8.28255e-05 3.67958e-05 0.000166081 0.000169247 0 3.99143e-05 6.2707e-05 9.90135e-07 0 0.00122335 0.000879912 3.49792e-05 4.82999e-05 6.70671e-05 0.000861468 0.000132366 6.81415e-05 4.38395e-05 0.000104924 0.000158175 3.33997e-06 0.00139525 0.000117875 0.000682227 7.84912e-05 2.49421e-07 0.000116756 1.78461e-05 2.80858e-05 0.000659046 4.21712e-05 8.74851e-06 0.000605241 2.56342e-05 3.75812e-05 9.73475e-06 1.59454e-05
3200 0.000153912 0.000379032 2.75739e-05 6.21057e-05 3.49969e-05 0.000120079 0.000218781 0 3.03745e-05 8.64856e-05 7.76512e-07 2.35294e-07 0.000923615 0.0004752 2.54701e-05 5.64083e-05 3.87458e-05 0.000555676 0.000200633 0.000107419 1.85585e-05 7.63833e-05 8.52871e-05 2.34265e-06 0.000978576 0.000117722 0.000784811 6.749e-05 4.0279e-07 0.000197393 1.88603e-05 2.80479e-05 0.000658253 6.0831e-05 2.7154e-06 2.07068e-05 1.03595e-06 5.7237e-06 1.02034e-05 7.52852e-06
3300 0.000167753 0.00042175 2.8888e-05 6.88155e-05 3.07452e-05 7.39672e-05 1.04316e-05 0 5.91726e-05 5.79412e-06 7.19716e-07 1.26541e-07 0.000982437 0.00140697 2.69563e-05 8.23518e-05 8.30011e-05 0.000497474 0.000221145 2.53791e-05 2.08e-05 8.08544e-05 8.99581e-05 3.62391e-06 0.00151439 5.13632e-06 0.000109271 5.36208e-05 1.1577e-06 0.000560599 8.37286e-06 5.41621e-07 8.06831e-06 2.81935e-05 1.79204e-05 0.000802898 1.09756e-05 0.000163652 7.75817e-06 6.47894e-05
3400 3.65203e-06 2.45447e-06 5.23434e-05 2.22101e-05 1.21115e-05 2.72384e-05 0.000303785 5.2419e-08 5.0867e-05 0.000119588 1.01256e-06 1.18907e-07 0.000337172 0.000216723 2.96939e-05 0.000245944 3.53272e-05 0.000210467 7.63083e-06 1.60207e-05 6.71809e-06 8.90461e-05 9.94568e-05 1.46727e-06 0.000613623 2.81545e-06 0.000778713 6.84356e-05 1.3751e-08 2.66855e-06 2.0858e-05 1.37933e-06 1.52532e-05 4.53185e-05 2.80779e-06 7.2398e-06 7.35768e-06 0.000315852 3.53144e-06 0.000124489
