g 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
2400 0.187128 0.0722413 0.183655 0.149233 0.00627184 0.00968356 0.015345 3.11403 0.000186743 0.0394888 0.0250543 4.5668 0.00606307 0.000480673 2.06123 0.00844211 0.0657638 1.6803 0.136822 0.00243878 1.41772 0.687233 0.555791 0.0653436 0.000156373 0.00488917 2.34377e-05 5.73942e-06 0.0239453 4.89762e-05 0.00202415 0.0211122 0.00086363 0.0109396 0.999225 0.08399 0.0140051 0.00472188 0.0154124 0.0127436
2500 0.187127 0.0722408 0.183665 0.149233 0.00627182 0.00968347 0.0153444 3.11403 0.000186743 0.0394894 0.0250543 4.5668 0.00606281 0.000480651 2.06123 0.00844203 0.0657639 1.68033 0.136823 0.00243879 1.41771 0.687235 0.555798 0.0653436 0.000156364 0.00488917 2.34382e-05 5.73944e-06 0.0239453 4.89762e-05 0.00202415 0.0211122 0.000863632 0.0109397 0.999225 0.0839921 0.0140051 0.00472176 0.0154124 0.0127437
2600 0.187129 0.0722401 0.183657 0.149233 0.00627183 0.00968352 0.0153444 3.11403 0.000186742 0.0394893 0.0250543 4.5668 0.00606294 0.000480659 2.06123 0.00844202 0.0657639 1.68032 0.136823 0.00243878 1.41771 0.687233 0.555793 0.0653436 0.000156371 0.00488917 2.34373e-05 5.73942e-06 0.0239453 4.89762e-05 0.00202415 0.0211122 0.000863631 0.0109396 0.999225 0.0839911 0.0140051 0.00472193 0.0154124 0.0127435
2700 0.187126 0.0722427 0.183657 0.149233 0.00627184 0.00968348 0.0153441 3.11403 0.000186742 0.0394895 0.0250543 4.5668 0.0060629 0.000480654 2.06123 0.00844208 0.0657638 1.68031 0.13682 0.00243879 1.41771 0.687233 0.555793 0.0653436 0.000156371 0.00488917 2.34375e-05 5.73943e-06 0.0239453 4.89762e-05 0.00202415 0.0211122 0.000863632 0.0109396 0.999225 0.0839887 0.0140051 0.00472183 0.0154124 0.0127436
2800 0.187128 0.0722405 0.183657 0.149233 0.0062718 0.00968351 0.015344 3.11403 0.000186742 0.0394895 0.0250543 4.5668 0.00606282 0.000480657 2.06123 0.008442 0.0657638 1.68028 0.136822 0.00243877 1.41771 0.687233 0.555793 0.0653436 0.000156367 0.00488917 2.34377e-05 5.73947e-06 0.0239453 4.89768e-05 0.00202415 0.0211122 0.000863632 0.0109396 0.999225 0.0839897 0.014005 0.00472187 0.0154125 0.0127435
2900 0.187127 0.0722416 0.183665 0.149233 0.00627182 0.00968355 0.015344 3.11403 0.000186742 0.0394895 0.0250543 4.5668 0.006063 0.000480672 2.06123 0.00844192 0.0657637 1.68029 0.136822 0.00243879 1.41771 0.687234 0.5558 0.0653436 0.000156366 0.00488916 2.34373e-05 5.73942e-06 0.0239453 4.89754e-05 0.00202415 0.0211122 0.000863624 0.0109396 0.999225 0.0839902 0.0140051 0.00472186 0.0154125 0.0127435
3000 0.187127 0.0722415 0.183656 0.149233 0.00627182 0.00968355 0.0153441 3.11403 0.000186742 0.0394895 0.0250543 4.5668 0.00606296 0.000480648 2.06123 0.00844208 0.0657637 1.68032 0.136821 0.00243879 1.41772 0.687233 0.555791 0.0653436 0.000156371 0.00488917 2.34376e-05 5.73946e-06 0.0239453 4.89785e-05 0.00202416 0.0211122 0.000863631 0.0109396 0.999225 0.0839889 0.0140051 0.00472187 0.0154125 0.0127435
3100 0.187128 0.0722412 0.183658 0.149233 0.00627183 0.00968356 0.0153442 3.11403 0.000186741 0.0394894 0.0250543 4.5668 0.00606313 0.000480674 2.06123 0.00844205 0.065764 1.68029 0.136821 0.00243878 1.41771 0.687236 0.555791 0.0653436 0.000156375 0.00488919 2.34376e-05 5.73948e-06 0.0239453 4.89759e-05 0.00202416 0.0211122 0.000863656 0.0109396 0.999225 0.0839883 0.014005 0.00472185 0.0154125 0.0127435
3200 0.187129 0.07224 0.183657 0.149233 0.00627183 0.00968354 0.0153444 3.11403 0.000186742 0.0394892 0.0250543 4.5668 0.00606298 0.000480649 2.06123 0.00844205 0.065764 1.68034 0.136823 0.00243877 1.41771 0.687233 0.555793 0.0653436 0.000156375 0.00488919 2.34379e-05 5.73948e-06 0.0239453 4.89762e-05 0.00202416 0.0211122 0.000863649 0.0109396 0.999225 0.08399 0.014005 0.00472187 0.0154125 0.0127435
3300 0.187129 0.0722398 0.183657 0.149233 0.00627182 0.00968352 0.0153443 3.11403 0.000186741 0.0394893 0.0250543 4.5668 0.00606306 0.000480634 2.06123 0.00844205 0.0657643 1.68034 0.136823 0.00243878 1.41771 0.687232 0.555794 0.0653436 0.000156386 0.00488917 2.34381e-05 5.73951e-06 0.0239453 4.89771e-05 0.00202417 0.0211122 0.000863631 0.0109396 0.999226 0.0839896 0.014005 0.00472191 0.0154125 0.0127434
3400 0.187128 0.0722412 0.183657 0.149234 0.00627177 0.00968353 0.0153444 3.11403 0.000186741 0.039489 0.0250543 4.5668 0.00606282 0.000480651 2.06123 0.00844202 0.0657638 1.68032 0.136822 0.00243878 1.41771 0.687235 0.555791 0.0653436 0.00015637 0.00488917 2.34388e-05 5.73952e-06 0.0239453 4.89762e-05 0.00202417 0.0211122 0.000863631 0.0109396 0.999225 0.08399 0.014005 0.00472182 0.0154126 0.0127435
