ER;Metabolite;Rep;Tissue
0.570617766972794;lactose;1;Brain
0.158720397376567;leucine;1;Brain
0.141293236561967;lysine;1;Brain
0.0174866704775136;malate;1;Brain
0.370793851261725;malondialdehyde;1;Brain
0.201616070476912;methionine;1;Brain
0.104083174685924;methionine sulfoxide;1;Brain
0.00871291513115168;niacinamide;1;Brain
0.337905082655489;ornithine;1;Brain
0.194333321873296;orotate;1;Brain
0.0617818229227082;oxalate;1;Brain
0.202193296552586;pantothenate;1;Brain
0.0864623393300856;pentose monophosphate;1;Brain
0.121651744659921;phenylalanine;1;Brain
0.43248709059199;phosphocholine;1;Brain
0.37964610370181;phosphocreatine;1;Brain
1.40545966251738;phosphoenolpyruvate;1;Brain
0.318911195746281;phosphoethanolamine;1;Brain
0.49002063594875;pipecolic acid;1;Brain
0.118158983761115;proline;1;Brain
0.121020916647496;putrescine;1;Brain
0.236830552225265;pyroglutamic acid;1;Brain
0.230868340014765;pyruvate;1;Brain
0.454643171615889;quinolinate;1;Brain
0.0679421989538723;serine;1;Brain
0.418771241035599;serotonin;1;Brain
0.223884909845142;sorbitol;1;Brain
0.243709846719432;suberate;1;Brain
0.134285875201974;succinate;1;Brain
0.47841544606132;sucrose;1;Brain
0.13330804178498;taurine;1;Brain
0.752981309516247;taurocholate;1;Brain
0.210872816660324;taurodeoxycholate/taurochenodeoxycholate;1;Brain
0.161819860913424;thiamine;1;Brain
0.136292808790282;threonine;1;Brain
0.207425526729919;thymine;1;Brain
0.0318229041814436;trimethylamine-N-oxide;1;Brain
0.104095328264788;tryptophan;1;Brain
0.200059429202001;tyrosine;1;Brain
0.329567555884952;uracil;1;Brain
1.383102938637;urate;1;Brain
0.795424571667834;uridine;1;Brain
0.21429424998668;valine;1;Brain
0.06683248660322;xanthine;1;Brain
0.466580730123058;xanthosine;1;Brain
0.32418551124645;1-methylhistamine;2;Brain
1.87041327500012;1-methylnicotinamide;2;Brain
0.532056299334026;2-aminoadipate;2;Brain
0.712597804260603;2-hydroxyglutarate;2;Brain
0.169309853156329;3-methyladipate/pimelate;2;Brain
1.88334940338255;3-phosphoglycerate;2;Brain
0.308923136921237;4-hydroxybenzaldehyde;2;Brain
1.99459113250555;4-pyridoxate;2;Brain
0.23747583131542;5-HIAA;2;Brain
0.137544416088547;5-adenosylhomocysteine;2;Brain
0.415314458568986;6-phosphogluconate;2;Brain
1.40650955233214;ADP;2;Brain
0.370829955332248;AMP;2;Brain
0.44409464132285;C12 carnitine;2;Brain
0.466121706991504;C14 carnitine;2;Brain
0.334984339269811;C14:0 LPC;2;Brain
0.270311644904409;C14:0 SM;2;Brain
0.441255847977026;C16 carnitine;2;Brain
0.138026412162626;C16:0 CE;2;Brain
0.0795476063069236;C16:0 LPC;2;Brain
0.0733968385916165;C16:0 LPE;2;Brain
0.147802224093217;C16:0 SM;2;Brain
0.0770109336454345;C16:1 LPC;2;Brain
0.238474376759635;C16:1 SM;2;Brain
0.407852622718366;C18 carnitine;2;Brain
0.125574131872579;C18:0 LPC;2;Brain
0.125922498974702;C18:0 LPE;2;Brain
0.0119001348105279;C18:0 SM;2;Brain
0.672302475751419;C18:1 CE;2;Brain
0.0943407661633117;C18:1 LPC;2;Brain
0.116572452415206;C18:1 LPE;2;Brain
0.0726006568972065;C18:1 SM;2;Brain
0.343565246308073;C18:1 carnitine;2;Brain
0.415298707890091;C18:2 CE;2;Brain
0.0886695724984313;C18:2 LPC;2;Brain
0.518987782440064;C18:2 SM;2;Brain
0.400326269030243;C18:2 carnitine;2;Brain
0.485529748158742;C2 carnitine;2;Brain
0.0572904358879481;C20:3 CE;2;Brain
